gen_uid,cust_key,first_name_cl,family_name_cl,mobile_no_cl,mobile_no_dsp,source_name,birth_date_cl,birth_date_dsp,email_cl,email_dsp,update_date
t0,1051023629,amandb,okazaki,809189004,809189004,CRM,16/10/88 00:00,16/10/88 00:00,,,3/2/21 00:00
t1,1051001700,amandb,okazaki,809189007,809189007,DDMS,16/10/88 00:00,16/10/88 00:00,chompu-mam@hotmail.com,chompu-mam@hotmail.com,6/2/21 00:00
t10,1051003787,amanda,okazaki,809189010,809189010,CRM,16/10/88 00:00,16/10/88 00:00,panyananmuk@hotmail.com,panyananmuk@hotmail.com,9/2/21 00:00
t100,1251003810,amanda,okazaki,809189013,809189013,CRM,19/10/88 00:00,19/10/88 00:00,panyananmuk@hotmail.com,panyananmuk@hotmail.com,12/2/21 00:00
t1000,1301004376,amanda,okazaki,809189016,809189016,CRM,22/10/88 00:00,22/10/88 00:00,panyananmuk@hotmail.com,panyananmuk@hotmail.com,26/6/22 00:00
t1001,1071012310,amanda,okazaki,809189018,809189018,CRM,24/10/88 00:00,24/10/88 00:00,,,9/1/21 00:00
t1002,8000035642,amanda,okazaki,809189021,809189021,CRM,27/10/88 00:00,27/10/88 00:00,,,25/6/20 00:00
t1003,CRM100000209,amanda,okazaki,809189023,809189023,DDMS,,,,,24/3/22 00:00
t1004,8206011100,amanda,okazaki,809189026,809189026,DDMS,,,,,31/8/17 00:00
t1005,CRM100000748,amanda,okazaki,809189031,809189031,DDMS,,,,,16/12/17 00:00
t1006,1181002139,amanda,okazaki,809189032,809189032,DDMS,,,,,29/7/16 00:00
t1007,1061024091,amanda,okazaki,809189037,809189037,DDMS,,,,,29/9/20 00:00
t1008,1251010985,amanda,okazaki,809189040,809189040,DDMS,,,Thawatchai_saelee@yahoo.com,Thawatchai_saelee@yahoo.com,27/6/22 00:00
t1009,1078000193,amanda,okazaki,809189042,809189042,CRM,,,Thawatchai_saelee@yahoo.com,Thawatchai_saelee@yahoo.com,23/11/21 00:00
t101,2131000330,amanda,okazaki,809189044,809189044,CRM,,,Thawatchai_saelee@yahoo.com,Thawatchai_saelee@yahoo.com,23/7/21 00:00
t1010,8224005637,amanda,okazaki,809189048,809189048,CRM,,,,,18/6/22 00:00
t1011,1251025179,amanda,okazaki,809189051,809189051,CRM,,,,,30/1/21 00:00
t1012,1081020959,amanda,okazaki,809189055,809189055,CRM,,,,,14/6/22 00:00
t1013,1061037500,amanda,okazaki,809189058,809189058,CRM,,,,,16/6/22 00:00
t1014,1061029909,amanda,okazaki,809189061,809189061,CRM,22/8/68 00:00,22/8/68 00:00,cbk@ksg.co.th,cbk@ksg.co.th,21/6/22 00:00
t1015,1051002006,amanda,okazaki,809189064,809189064,CRM,4/4/60 00:00,4/4/60 00:00,,,22/6/22 00:00
t1016,1021080991,amanda,okazaki,809189067,809189067,CRM,,,Nee-Ar@hotmail.com,Nee-Ar@hotmail.com,27/6/22 00:00
t1017,1091003566,amanda,okazaki,809189070,809189070,CRM,,,Kancharose123nice@gmail.com,Kancharose123nice@gmail.com,30/6/22 00:00
t1018,1051011255,amanda,okazaki,809189073,809189073,CRM,,,,,1/7/22 00:00
t1019,1051025366,amanda,okazaki,809189076,809189076,CRM,19/4/24 00:00,19/4/24 00:00,p-veeradate@yamatothai.com,p-veeradate@yamatothai.com,6/7/22 00:00
t102,CRM100000680,amanda,okazaki,809189079,809189079,CRM,13/7/65 00:00,13/7/65 00:00,ple.nutcha@gmail.com,ple.nutcha@gmail.com,9/7/22 00:00
t1020,1251004515,amanda,okazaki,809189082,809189082,CRM,,,phichai.9e@gmail.com,phichai.9e@gmail.com,12/7/22 00:00
t1021,1091001499,amanda,okazaki,809189085,809189085,CRM,,,,,13/7/22 00:00
t1022,1061045498,amanda,okazaki,809189088,809189088,CRM,,,BS2100189.15@cyc.com,BS2100189.15@cyc.com,18/7/22 00:00
t1023,1071003544,amanda,okazaki,809189091,809189091,CRM,23/4/51 00:00,23/4/51 00:00,,,21/7/22 00:00
t1024,1131051761,amanda,okazaki,809189094,809189094,CRM,28/6/92 00:00,28/6/92 00:00,a_tudtu_4@hotmail.com,a_tudtu_4@hotmail.com,24/7/22 00:00
t1025,1251000462,amanda,okazaki,809189097,809189097,CRM,5/5/67 00:00,5/5/67 00:00,,,26/7/22 00:00
t1026,CRM100000749,amanda,okazaki,809189100,809189100,CRM,,,apexthai99@hotmail.com,apexthai99@hotmail.com,30/7/22 00:00
t1027,1051010823,amanda,okazaki,809189103,809189103,CRM,21/1/64 00:00,21/1/64 00:00,,,1/8/22 00:00
t1028,1151006762,amanda,okazaki,809189106,809189106,CRM,16/6/36 00:00,16/6/36 00:00,,,5/8/22 00:00
t1029,1071006878,amanda,okazaki,809189109,809189109,CRM,,,,,7/8/22 00:00
t103,1251008320,amanda,okazaki,809189112,809189112,CRM,,,Udomsak.omo@gmail.com,Udomsak.omo@gmail.com,11/8/22 00:00
t1030,CRM100000750,amanda,okazaki,809189115,809189115,CRM,,,poon@hotmail.com,poon@hotmail.com,14/8/22 00:00
t1031,1061028978,amanda,okazaki,809189118,809189118,CRM,13/4/94 00:00,13/4/94 00:00,,,17/8/22 00:00
t1032,1061008558,amanda,okazaki,809189121,809189121,CRM,,,BS2100213.15@cyc.com,BS2100213.15@cyc.com,20/8/22 00:00
t1033,1071009783,amanda,okazaki,809189124,809189124,CRM,6/11/83 00:00,6/11/83 00:00,ERICKHUANG.Y@GMAIL.COM,ERICKHUANG.Y@GMAIL.COM,23/8/22 00:00
t1034,1061019878,amanda,okazaki,809189127,809189127,CRM,,,pandara4412@gmail.com,pandara4412@gmail.com,26/8/22 00:00
t1035,1131026349,amanda,okazaki,809189130,809189130,CRM,,,,,28/8/22 00:00
t1036,1151006769,amanda,okazaki,809189133,809189133,CRM,15/11/58 00:00,15/11/58 00:00,absolute_kob@hotmail.com,absolute_kob@hotmail.com,1/9/22 00:00
t1037,1051008751,amanda,okazaki,809189136,809189136,CRM,,,kyoupiem@gmail.com,kyoupiem@gmail.com,4/9/22 00:00
t1038,1061010234,amanda,okazaki,809189139,809189139,CRM,8/2/83 00:00,8/2/83 00:00,Home_Eng@Hotmail.com,Home_Eng@Hotmail.com,7/9/22 00:00
t1039,1051014682,amanda,okazaki,809189142,809189142,CRM,,,wisa.yps@gmail.com,wisa.yps@gmail.com,10/9/22 00:00
t104,1131044866,amanda,okazaki,809189145,809189145,CRM,,,,,11/9/22 00:00
t1040,1251023557,amanda,okazaki,809189148,809189148,CRM,,,ponza.com_30@hotmail.com,ponza.com_30@hotmail.com,16/9/22 00:00
t1041,1051008378,amanda,okazaki,809189151,809189151,CRM,,,sirikorn.tho@hotmail.com,sirikorn.tho@hotmail.com,19/9/22 00:00
t1042,1061010582,amanda,okazaki,809189154,809189154,CRM,,,siripun9@gmail.com,siripun9@gmail.com,22/9/22 00:00
t1043,1051014267,amanda,okazaki,809189157,809189157,CRM,27/5/88 00:00,27/5/88 00:00,wittaya.rst@gmail.com,wittaya.rst@gmail.com,25/9/22 00:00
t1044,1061041644,amanda,okazaki,809189160,809189160,CRM,,,,,28/9/22 00:00
t1045,1051016366,amanda,okazaki,809189163,809189163,CRM,,,supaporn@mantra.co.th,supaporn@mantra.co.th,1/10/22 00:00
t1046,CRM100000751,amanda,okazaki,809189166,809189166,CRM,,,horfirearms@gmail.com,horfirearms@gmail.com,4/10/22 00:00
t1047,1081028953,amanda,okazaki,809189169,809189169,CRM,,,jamhom80@icloud.com,jamhom80@icloud.com,7/10/22 00:00
t1048,1151037908,amanda,okazaki,809189172,809189172,CRM,,,fvetjrw@yahoo.com,fvetjrw@yahoo.com,10/10/22 00:00
t1049,2210000722,amanda,okazaki,809189175,809189175,CRM,12/1/82 00:00,12/1/82 00:00,nook_offline_24hr@hotmail.com,nook_offline_24hr@hotmail.com,13/10/22 00:00
t105,1021067585,amanda,okazaki,809189178,809189178,CRM,,,yuy_1615@hotmail.com,yuy_1615@hotmail.com,16/10/22 00:00
t1050,1061030828,amanda,okazaki,809189181,809189181,CRM,,,,,19/10/22 00:00
t1051,1411009499,amanda,okazaki,809189184,809189184,CRM,,,tippawan-h@hidakayookoo.co.th,tippawan-h@hidakayookoo.co.th,22/10/22 00:00
t1052,1251024537,amanda,okazaki,809189187,809189187,CRM,,,chai4423@hotmail.com,chai4423@hotmail.com,25/10/22 00:00
t1053,1091016499,amanda,okazaki,809189190,809189190,CRM,,,,,28/10/22 00:00
t1054,1061037494,amanda,okazaki,809189193,809189193,CRM,,,uatakorn_por@hotmail.com,uatakorn_por@hotmail.com,31/10/22 00:00
t1055,1091016654,amanda,okazaki,809189196,809189196,CRM,,,personnol-mtp@tptport.com,personnol-mtp@tptport.com,3/11/22 00:00
t1056,1061042066,amanda,okazaki,809189199,809189199,CRM,,,,,5/11/22 00:00
t1057,1041026242,amanda,okazaki,809189202,809189202,CRM,24/9/06 00:00,24/9/06 00:00,tanidalek@hotmail.com,tanidalek@hotmail.com,9/11/22 00:00
